fp_name,sv_scale,fpsim_position,surr_position,prior_adjust,pow_trans,alt_source,alt_prior,alt_prior_unc,surr_name,scene_group
Ground Lambertian WC-Band Albedo Parm 1,1.0,37,25,No,1,/BRDFResults/brdf_reflectance_weak_co2,/BRDFResults/brdf_reflectance_apriori_weak_co2,1.0,Ground Lambertian WC-Band Albedo Parm 1,/Ground/Albedo
Ground Lambertian WC-Band Albedo Parm 2,1.0,38,26,No,1,/BRDFResults/brdf_reflectance_slope_weak_co2,/BRDFResults/brdf_reflectance_slope_apriori_weak_co2,5.0e-4,Ground Lambertian WC-Band Albedo Parm 2,/Ground/Albedo
Ground Lambertian WC-Band Albedo Parm 3,1.0,-1,-1,No,1,/BRDFResults/brdf_reflectance_quadratic_weak_co2,/BRDFResults/brdf_reflectance_quadratic_apriori_weak_co2,5.0e-4,Ground Lambertian WC-Band Albedo Parm 3,/Ground/Albedo
Ground Lambertian SC-Band Albedo Parm 1,1.0,39,21,No,1,/BRDFResults/brdf_reflectance_strong_co2,/BRDFResults/brdf_reflectance_apriori_strong_co2,1.0,Ground Lambertian SC-Band Albedo Parm 1,/Ground/Albedo
Ground Lambertian SC-Band Albedo Parm 2,1.0,40,22,No,1,/BRDFResults/brdf_reflectance_slope_strong_co2,/BRDFResults/brdf_reflectance_slope_apriori_strong_co2,5.0e-4,Ground Lambertian SC-Band Albedo Parm 2,/Ground/Albedo
Ground Lambertian SC-Band Albedo Parm 3,1.0,-1,-1,No,1,/BRDFResults/brdf_reflectance_quadratic_strong_co2,/BRDFResults/brdf_reflectance_quadratic_apriori_strong_co2,5.0e-4,Ground Lambertian SC-Band Albedo Parm 3,/Ground/Albedo
Instrument Dispersion A-Band Offset,1.0,41,-1,Yes,1,NA,NA,-1,NA,/Instrument/Dispersion
Instrument Dispersion A-Band Scale,1.0,42,-1,Yes,1,NA,NA,-1,NA,NA
Instrument Dispersion WC-Band Offset,1.0,43,-1,Yes,1,NA,NA,-1,NA,/Instrument/Dispersion
Instrument Dispersion WC-Band Scale,1.0,44,-1,Yes,1,NA,NA,-1,NA,NA
Instrument Dispersion SC-Band Offset,1.0,45,-1,Yes,1,NA,NA,-1,NA,/Instrument/Dispersion
Instrument Dispersion SC-Band Scale,1.0,46,-1,Yes,1,NA,NA,-1,NA,NA
EOF order 1 scale factor A-Band,1.0,47,-1,No,1,NA,NA,-1,NA,NA
